ID;extnr;name;gruppe;einheit;inhalt;grundeinheit;mwst;dekp;vk;vkbrutto;vk1;konto_aufwand;konto_erloes;barcode;plu;mindestbestand;bestellmenge;haltbarkeit;text_etikett;kurzname;lieferant;lieferantname;lieferant_extnr;ekmwst;ek;ekbrutto;kassaartikel;produktionsstaette;produktionsdoku;beschreibung;volldeklaration;seriennummer;saisonal;bio;vegetarisch;gewicht;laenge;breite;hoehe;urprodukt;verfuegbar;jn1;jn2;jn3;jn4;shop_name;shop_name2;shop_ca_preis;shop_bestellende;shop_variantenartikel;etikett_extnr;etikett_text1;etikett_text2;etikett_text3;etikett_text4;etikett_text5;etikett_image1;etikett_image2;etikett_image3;lagerstand;lagerstand9
2082;;"Flower Sprouts - Sprossenkohl - kg";63;kg;1,000;kg;7;10,99;14,84;15,88;0;0;0;;0;0.000;0.000;0;;;100439;LANDLINIE;11166;7;10,99000;11,76;0;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3358;;"Flower Sprouts - Sprossenkohl - kg Bollheim";63;kg;1,000;kg;7;14,2;19,16822;20,51;0;0;0;;0;0.000;0.000;0;;;100429;Bollheim;;7;14,20000;15,19;0;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3277;;"Frisch fettarme Milch Demeter Schrotzberg MW";53;Stück;1,000;l;7;1,47;1,91;2,04;0;0;0;4017194009159;0;0.000;0.000;0;;;100439;LANDLINIE;40040;7;1,47000;1,57;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3112;;"Frische Bio-Alpenmilch 1l 1,5% BGL Demeter MW";53;Stück;1,000;l;7;1,44;1,872;2,00;0;0;0;4101530001164;0;0.000;0.000;0;;;5;NKW;11156;7;1,44000;1,54;0;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1494;;"Frische Bio-Alpenmilch 1l 3,5% BGL Demeter MW";53;Stück;1,000;l;7;1,54;2,002;2,14;0;0;0;4101530001157;0;0.000;0.000;0;;;5;NKW;11155;7;1,54000;1,65;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;6;6
1797;;"Frische Eier Spätzle 400g";187;Stück;400,000;g;7;2,18;2,834;3,03;0;0;0;4000915106060;0;0.000;0.000;0;;;100439;LANDLINIE;18897;7;2,18000;2,33;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2714;;"Frische Falafel Sesam Minze 220g - Soto";255;Stück;220,000;g;7;2,15;2,795;2,99;0;0;0;4026584133534;0;0.000;0.000;0;;;5;NKW;10374;7;2,15000;2,30;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;5;5
3001;;"Frische Frühlingsrolle ""Thai"" 2 Stück 220g - Soto";255;Stück;220,000;g;7;0;3,1028;3,32;0;0;0;4026584130014;0;0.000;0.000;0;;;5;NKW;10300;7;2,38000;2,55;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2407;;"Frische Gnocchetti Kürbis 400g Pasta Nuova";255;Stück;1,000;Stück;7;2,11;2,743;2,94;0;0;0;4011849880001;0;0.000;0.000;0;;;5;NKW;3046;7;2,11000;2,26;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1730;3008;"Frische Gnocchi 400g";253;Stück;400,000;g;7;1,97;2,57009;2,75;0;0;0;4011849850004;0;0.000;0.000;0;;;5;NKW;3008;7;1,97000;2,11;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2612;;"frische Gnocchi originale 400g Bio Verde";255;Stück;400,000;g;7;2,23;2,899;3,10;0;0;0;4000915103410;0;0.000;0.000;0;;;100439;LANDLINIE;18870;7;2,23000;2,39;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;4;4
2584;;"Frische Maultaschen mit Gemüse 250g BioVerde";255;Stück;250,000;g;7;2,32;3,03738;3,25;0;0;0;4000915105117;0;0.000;0.000;0;;;100439;LANDLINIE;;7;2,30000;2,46;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2243;;"Frische Maultaschen mit Gemüse GESCHNITTEN 250g BioVerde";255;Stück;250,000;g;7;2,31873;3,02;3,23;0;0;0;4000915105186;0;0.000;0.000;0;;;5;NKW;3861;7;2,32000;2,48;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;8;8
2311;;"Frische Maultaschen mit Gemüse und Ricotta 300g Alb-Natur";255;Stück;300,000;g;7;2,73;3,549;3,80;0;0;0;4018722014751;0;0.000;0.000;0;;;100439;LANDLINIE;20322;7;2,73000;2,92;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2204;;"Frische Maultaschen mit Rind und Schwein 300g Alb-Natur";255;Stück;300,000;g;7;2,73;3,549;3,80;0;0;0;4018722014744;0;0.000;0.000;0;;;100439;LANDLINIE;20321;7;2,73000;2,92;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2244;;"Frische Maultaschen mit Spinat 250g Bio Verde";255;Stück;250,000;g;7;2,06;1,43;1,53;0;0;0;4011849701009;0;0.000;0.000;0;;;5;NKW;10575;7;1,10000;1,18;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3216;;"Frische Ravioli al 4 formaggi 250g - Bio Verde";255;Stück;250,000;g;7;2,71;3,523;3,77;0;0;0;4000915105025;0;0.000;0.000;0;;;100439;LANDLINIE;18819;7;2,71000;2,90;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;5;5
